dim_CC_maxs,index,key
6474,0,real
6474,0,UPA m: 2
6321,0,ER p: 0.000600006652953
6184,1,real
5982,2,real
5742,3,real
5568,4,real
5439,5,real
5356,6,real
5202,7,real
5080,8,real
5050,9,real
4942,10,real
4885,11,real
4865,12,real
4859,13,real
4834,14,real
4755,15,real
4746,16,real
4725,17,real
4691,18,real
4684,19,real
4630,20,real
4550,21,real
4484,22,real
4482,23,real
4429,24,real
4385,25,real
4346,26,real
4274,27,real
4253,28,real
4222,29,real
4177,30,real
4139,31,real
4125,32,real
4074,33,real
4042,34,real
4033,35,real
3980,36,real
3963,37,real
3929,38,real
3928,39,real
3920,40,real
3909,41,real
3896,42,real
3886,43,real
3871,44,real
3827,45,real
3765,46,real
3753,47,real
3744,48,real
3723,49,real
3694,50,real
3683,51,real
3645,52,real
3614,53,real
3602,54,real
3588,55,real
3549,56,real
3537,57,real
3527,58,real
3492,59,real
3478,60,real
3452,61,real
3419,62,real
3406,63,real
3374,64,real
3358,65,real
3341,66,real
3311,67,real
3275,68,real
3246,69,real
3224,70,real
3189,71,real
3169,72,real
3146,73,real
3131,74,real
3101,75,real
3065,76,real
3052,77,real
3022,78,real
3007,79,real
2974,80,real
2929,81,real
2911,82,real
2878,83,real
2859,84,real
2841,85,real
2821,86,real
2800,87,real
2786,88,real
2759,89,real
2731,90,real
2704,91,real
2684,92,real
2666,93,real
2618,94,real
2595,95,real
2566,96,real
2554,97,real
2539,98,real
2509,99,real
2492,100,real
2492,101,real
2481,102,real
2470,103,real
2444,104,real
2433,105,real
2411,106,real
2400,107,real
2389,108,real
2380,109,real
2376,110,real
2362,111,real
2338,112,real
2325,113,real
2312,114,real
2297,115,real
2279,116,real
2234,117,real
2159,118,real
2140,119,real
2114,120,real
2093,121,real
1998,122,real
1987,123,real
1978,124,real
1896,125,real
1855,126,real
1724,127,real
1716,128,real
1710,129,real
1710,130,real
1700,131,real
1685,132,real
1670,133,real
1641,134,real
1625,135,real
1625,136,real
1613,137,real
1543,138,real
1486,139,real
1454,140,real
1441,141,real
1428,142,real
1417,143,real
1411,144,real
1369,145,real
1333,146,real
1318,147,real
1268,148,real
1252,149,real
1245,150,real
1232,151,real
